Game,Score
1706,4
1707,8
1708,6
1709,3
1710,10
1711,13
1712,1
1713,20
1714,17
1715,16
1716,9
1717,20
1718,2
1719,17
1720,32
1721,12
1722,7
1723,11
1724,13
1725,16
1726,10
1727,17
1728,14
1729,15
1730,23
1731,4
1732,20
1733,1
1734,12
1735,14
1736,4
1737,10
1738,9
1739,9
1740,7
1741,11
1742,12
1743,3
1744,21
1745,5
1746,15
1747,3
1748,12
1749,15
1750,14
1751,1
1752,20
1753,16
1754,8
1755,14
1756,11
1757,6
1758,9
1759,7
1760,12
1761,10
1762,16
1763,11
1764,12
1765,3
1766,31
1767,10
1768,20
1769,0
1770,11
1771,14
1772,4
1773,8
1774,3
1775,2
1776,9
1777,11
1778,20
1779,11
1780,13
1781,16
1782,12
1783,19
1784,11
1785,6
1786,6
1787,19
1788,10
1789,1
1790,11
1791,4
1792,15
1793,19
1794,10
1795,14
1796,1
1797,25
1798,18
1799,12
1800,7
1801,15
1802,4
1803,12
1804,12
1805,9
1806,19
1807,11
1808,17
1809,12
1810,5
1811,18
1812,16
1813,2
1814,18
1815,7
1816,6
1817,16
1818,18
1819,14
1820,23
1821,12
1822,5
1823,1
1824,5
1825,14
1826,11
1827,4
1828,17
1829,11
1830,15
1831,12
1832,12
1833,16
1834,4
1835,3
1836,10
1837,7
1838,10
1839,6
1840,15
1841,11
1842,5
1843,14
1844,3
1845,7
1846,28
1847,8
1848,7
1849,17
1850,22
1851,6
1852,13
1853,6
1854,21
1855,16
1856,13
1857,12
1858,8
1859,12
1860,4
1861,11
1862,4
1863,15
1864,19
1865,18
1866,4
1867,9
1868,3
1869,26
1870,3
1871,19
1872,8
1873,6
1874,25
1875,3
1876,17
1877,21
1878,8
1879,21
1880,18
1881,5
1882,13
1883,12
1884,7
1885,8
1886,24
1887,20
1888,6
1889,10
1890,5
1891,1
1892,22
1893,5
1894,0
1895,5
1896,14
1897,17
1898,21
1899,14
1900,21
1901,7
1902,12
1903,4
1904,9
1905,16
1906,15
1907,13
1908,6
1909,9
1910,7
1911,9
1912,2
1913,5
1914,22
1915,8
1916,10
1917,10
1918,10
1919,17
1920,4
1921,15
1922,20
1923,4
1924,2
1925,32
1926,13
1927,9
1928,15
1929,6
1930,16
1931,15
1932,7
1933,7
1934,1
1935,11
1936,19
1937,5
1938,6
1939,1
1940,12
1941,13
1942,10
1943,5
1944,16
1945,30
1946,5
1947,1
1948,9
1949,1
1950,4
1951,6
1952,12
1953,17
1954,8
1955,6
1956,9
1957,10
1958,1
1959,11
1960,10
1961,13
1962,3
1963,11
1964,6
1965,10
1966,12
1967,29
1968,14
1969,32
1970,26
1971,15
1972,5
1973,13
1974,21
1975,1
1976,5
1977,10
1978,2
1979,3
1980,1
1981,12
1982,5
1983,19
1984,14
1985,11
1986,8
1987,6
1988,20
1989,1
1990,4
1991,7
1992,11
1993,2
1994,3
1995,18
1996,5
1997,6
1998,7
1999,17
2000,18
2001,0
2002,9
2003,2
2004,4
2005,20
2006,14
2007,19
2008,10
2009,1
2010,22
2011,14
2012,3
2013,12
2014,22
2015,11
2016,11
2017,11
2018,16
2019,14
2020,9
2021,17
2022,24
2023,3
2024,3
2025,10
2026,6
2027,6
2028,15
2029,12
2030,4
2031,11
2032,12
2033,11
2034,10
2035,3
2036,0
2037,13
2038,14
2039,4
2040,10
2041,10
2042,13
2043,24
2044,13
2045,19
2046,2
2047,10
2048,11
2049,10
2050,2
2051,6
2052,14
2053,19
2054,4
2055,2
2056,15
2057,9
2058,8
2059,15
2060,8
2061,14
2062,5
2063,10
2064,11
2065,8
2066,5
2067,9
2068,11
2069,5
2070,21
2071,4
2072,5
2073,1
2074,16
2075,27
2076,21
2077,0
2078,0
2079,1
2080,8
2081,13
2082,18
2083,16
2084,13
2085,1
2086,11
2087,10
2088,5
2089,16
2090,9
2091,15
2092,5
2093,19
2094,3
2095,2
2096,12
2097,21
2098,9
2099,16
2100,9
2101,3
2102,1
2103,16
2104,12
2105,6
2106,6
2107,6
2108,4
2109,7
2110,11
2111,10
2112,20
2113,10
2114,19
2115,13
2116,18
2117,7
2118,10
2119,3
2120,17
2121,6
2122,2
2123,5
2124,10
2125,13
2126,2
2127,18
2128,27
2129,23
2130,8
2131,0
2132,3
2133,13
2134,7
2135,13
2136,15
2137,12
2138,5
2139,4
2140,5
2141,1
2142,16
2143,9
2144,15
2145,9
2146,23
2147,8
2148,8
2149,18
2150,10
2151,15
2152,10
2153,19
2154,19
2155,22
2156,2
2157,16
2158,5
2159,5
2160,10
2161,7
2162,10
2163,2
2164,9
2165,7
2166,10
2167,13
2168,6
2169,22
2170,8
2171,9
2172,12
2173,11
2174,14
2175,8
2176,7
2177,11
2178,10
2179,2
2180,14
2181,1
2182,3
2183,13
2184,13
2185,1
2186,10
2187,24
2188,15
2189,11
2190,11
2191,4
2192,15
2193,16
2194,12
2195,7
2196,13
2197,11
2198,14
2199,6
2200,18
2201,7
2202,8
2203,24
2204,10
2205,10
2206,6
2207,10
2208,17
2209,14
2210,5
2211,7
2212,3
2213,6
2214,22
2215,8
2216,7
2217,4
2218,7
2219,18
2220,1
2221,6
2222,13
2223,7
2224,0
2225,14
2226,14
2227,15
2228,15
2229,10
2230,7
2231,8
2232,18
2233,4
2234,16
2235,13
2236,16
2237,12
2238,4
2239,15
2240,2
2241,13
2242,23
2243,17
2244,9
2245,5
2246,12
2247,0
