Episode,TotalReward,ApplesEaten,AvgLoss,Epsilon,StepsPerApple,EpisodeTime
75,-50,0,0.5830980960060569,0.9277086733900016,0.0,1.7426912784576416
76,-50,0,0.5137569059928259,0.9267809647166116,0.0,1.760735273361206
77,-50,0,0.48086133077740667,0.925854183751895,0.0,1.7880165576934814
78,-50,0,0.4815635681152344,0.9249283295681431,0.0,1.8020296096801758
79,-50,0,0.5803395286202431,0.9240034012385749,0.0,1.820596694946289
80,-40,1,0.5996233678382376,0.9230793978373364,46.0,1.880580186843872
81,-50,0,0.4207760709173539,0.9221563184394991,0.0,1.9016199111938477
82,-50,0,0.4419287350915727,0.9212341621210596,0.0,1.9277136325836182
83,-40,1,0.5714612660162589,0.9203129279589385,34.0,1.9716129302978516
84,-40,1,0.6643537777391347,0.9193926150309796,22.0,2.006087303161621
